,mse_inflation,mse_output_gap,total_loss,rmse_inflation,rmse_output_gap,mae_inflation,mae_output_gap,var_inflation,var_output_gap,var_interest_rate,var_interest_rate_change,mean_abs_interest_rate_change,max_inflation_deviation,max_output_gap_deviation,pct_inflation_near_target,pct_output_gap_near_target
Actual,1.7429919774412257,3.8920035929383134,2.8174977851897696,1.320224214836717,1.9728161579169796,0.8328476521511714,1.5330481723817917,1.633067315634404,3.473323796591712,6.879276531282116,0.21568702446637067,0.29111038126020916,5.75229273828919,9.024281697870183,52.142857142857146,35.714285714285715
TR93,8.657042217759281,3.8271369419605117,6.242089579859897,2.942285203334184,1.9563069651668963,2.434952396365042,1.6652809776517798,4.2143550496899485,1.849305607947192,10.906950276820686,3.4091735180289633,1.460007143463369,5.8607150245364235,4.4389695575186705,12.857142857142856,28.57142857142857
NPP,13.911840269218331,4.302986978793465,9.107413624005897,3.7298579422302844,2.0743642348424407,3.351701357031503,1.7608116557299134,3.130005326908496,2.0018905170402657,13.147978125179105,7.345101431865601,2.1205732696961284,6.548583927765293,4.571329228420476,5.714285714285714,30.0
BA,12.64510982005746,4.1392545393261955,8.392182179691828,3.5559963189038117,2.034515799723904,3.080183978804463,1.7233680295738953,4.4689670625165006,1.7467830251450644,14.14028593471704,6.683894290804299,2.034846569536969,7.9151090316924435,4.4917918467939,7.857142857142857,32.857142857142854
RL_SVAR_no_lag,7.185881750674874,3.840036429394692,5.512959090034783,2.680649501645986,1.9596010893533131,2.213495756888623,1.6518398037916255,3.183449347022915,2.127853154335049,6.472391622450424,12.748196414441118,2.9155043353994756,6.777462316511087,4.69338352683836,17.142857142857142,31.428571428571427
RL_SVAR_one_lag,1.8413097669624912,3.4654337036764975,2.653371735319494,1.3569486972477962,1.8615675393808566,1.1008826175561142,1.5058176516288857,1.6038935945734056,2.761606741001495,4.534713066217211,4.780955074835591,1.6678290843424204,3.807979068611351,5.129809150982515,28.57142857142857,40.0
RL_ANN_no_lag,8.453479277004712,3.782590319344919,6.118034798174816,2.9074867629973333,1.9448882536909207,2.4893637520427667,1.63280311554012,3.2340205024215005,2.725388933495185,7.493217238688578,16.689960373111596,3.4220107803418522,6.018363984485835,4.466495850569759,7.857142857142857,30.714285714285715
RL_ANN_one_lag,2.3006139053242536,4.4493208874534504,3.3749673963888522,1.5167774738979525,2.1093413397203995,1.202483791110229,1.7332974689675287,2.274017772246326,2.430551146023674,8.422873593319208,5.360342654592836,1.9139459125441514,5.860535529906611,4.356879550062015,27.857142857142858,38.57142857142858
RL_ANN_no_lag_nonlin,1.3684050186209913,3.379743184483114,2.374074101552053,1.1697884503708316,1.8384077851453724,0.9170419747434039,1.5456075076017006,1.3541498738195907,1.9860806652251564,0.36434246902831074,0.34081584403572074,0.4481110168671248,3.6124820123800303,4.692977055337927,31.428571428571427,37.142857142857146
RL_ANN_one_lag_nonlin,3.6815111017455777,4.176829571176339,3.9291703364609583,1.9187264270201674,2.0437293292352434,1.5032411466851283,1.6835910127866642,3.088936978125164,3.2711052038971533,3.11761227645518,1.1398450050955298,0.8048505325347719,5.582901767900908,4.94631743117195,22.857142857142858,32.857142857142854
